CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,Latitude,Longitude,Lat_Lon
508192784,12/09/2016,00:01:00,03/01/2017,23:59:00,05/22/2017,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,94,FRONT OF,RESIDENCE - APT. HOUSE,40.724364593,-73.94429024,"(40.724364593, -73.94429024)"
333574487,12/09/2016,17:00:00,12/17/2016,17:00:00,05/03/2017,107,BURGLARY,224,"BURGLARY,RESIDENCE,UNKNOWN TIM",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,105,INSIDE,RESIDENCE-HOUSE,40.677940599,-73.749240862,"(40.677940599, -73.749240862)"
873636431,12/09/2016,08:00:00,04/21/2017,00:01:00,04/29/2017,109,GRAND LARCENY,424,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,70,INSIDE,RESIDENCE-HOUSE,40.654446354,-73.963013691,"(40.654446354, -73.963013691)"
687643253,12/09/2016,00:01:00,12/25/2016,23:59:00,04/25/2017,109,GRAND LARCENY,430,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,50,INSIDE,RESIDENCE - APT. HOUSE,40.879941881,-73.921855076,"(40.879941881, -73.921855076)"
313160450,12/09/2016,10:00:00,04/07/2017,10:45:00,04/19/2017,116,SEX CRIMES,164,SODOMY 3,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,13,INSIDE,HOTEL/MOTEL,,,
552912752,12/09/2016,16:30:00,04/10/2017,14:50:00,04/14/2017,109,GRAND LARCENY,437,"LARCENY,GRAND BY FALSE PROMISE-IN PERSON CONTACT",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,7,,ATM,40.71396138,-73.991336932,"(40.71396138, -73.991336932)"
485321894,12/09/2016,12:00:00,04/11/2017,12:00:00,04/11/2017,341,PETIT LARCENY,313,"LARCENY,PETIT BY FALSE PROMISE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,77,INSIDE,RESIDENCE - APT. HOUSE,40.671254457,-73.926713851,"(40.671254457, -73.926713851)"
314006088,12/09/2016,18:00:00,12/09/2016,18:00:00,04/08/2017,109,GRAND LARCENY,420,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,42,INSIDE,RESIDENCE - PUBLIC HOUSING,40.836446851,-73.904017601,"(40.836446851, -73.904017601)"
820853069,12/09/2016,10:00:00,01/11/2017,10:00:00,03/31/2017,109,GRAND LARCENY,439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,43,INSIDE,RESIDENCE - APT. HOUSE,40.826908632,-73.870051566,"(40.826908632, -73.870051566)"
606934606,12/09/2016,18:30:00,03/27/2017,18:30:00,03/28/2017,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,17,FRONT OF,PARK/PLAYGROUND,40.757709028,-73.960426043,"(40.757709028, -73.960426043)"
